,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,sereflikochisar,38.9393,33.5386,44.17,65,0,6.73,TR,1612578514
341,kozhva,65.1073,57.0459,-15.18,89,100,12.15,RU,1612578514
342,tual,-5.6667,132.75,83.91,78,100,19.04,ID,1612578761
343,yumen,40.2833,97.2,31.55,69,100,15.66,CN,1612578515
344,kattivakkam,13.2167,80.3167,73.4,78,20,2.3,IN,1612578515
345,maloy,61.9353,5.1136,25.0,54,0,8.05,NO,1612578515
346,salinopolis,-0.6136,-47.3561,79.23,81,45,11.01,BR,1612578762
347,akureyri,65.6835,-18.0878,32.0,69,75,13.8,IS,1612578516
348,santa maria,-29.6842,-53.8069,62.6,94,0,1.14,BR,1612578516
349,dindori,22.95,81.0833,60.96,55,68,11.1,IN,1612578762
350,urumqi,43.801,87.6005,6.8,92,90,2.24,CN,1612578763
351,basco,20.4487,121.9702,73.31,80,98,17.65,PH,1612578517
352,shaunavon,49.6501,-108.4181,-9.4,77,100,10.36,CA,1612578488
353,guanare,9.0418,-69.7421,80.33,55,100,2.89,VE,1612578518
354,katherine,-14.4667,132.2667,78.8,89,90,2.3,AU,1612578284
355,flinders,-34.5833,150.8552,71.01,93,100,7.0,AU,1612578764
356,taltal,-25.4,-70.4833,63.57,79,36,0.98,CL,1612578518
357,meulaboh,4.1363,96.1285,84.24,68,41,2.17,ID,1612578765
358,bima,-8.4667,118.7167,80.91,80,100,4.52,ID,1612578519
359,arica,-18.475,-70.3042,69.8,68,75,4.61,CL,1612578359
360,yenagoa,4.9247,6.2642,78.71,88,0,3.49,NG,1612578519
361,miraflores,19.2167,-98.8083,69.8,35,1,12.66,MX,1612578520
362,biak,-0.9131,122.8766,81.09,69,100,2.3,ID,1612578520
363,isangel,-19.55,169.2667,87.8,66,20,3.44,VU,1612578766
